Format Version,1.21,Take Name,Take 2021-04-13 07.22.24 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-04-13 07.22.24 PM,Total Frames in Take,22555,Total Exported Frames,22555,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001,Unlabeled:5002,Unlabeled:5002,Unlabeled:5002,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138B","8392B20CF49E3570138B","8392B20CF49E3570138B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
122,1.016667,0.039986,-0.001607,0.037889,0.078186,-0.052817,0.044394,0.086149,-0.026879,0.002551,0.030858,-0.061237,0.060471
123,1.025000,0.039985,-0.001605,0.037876,0.078189,-0.052819,0.044385,0.086151,-0.026881,0.002543,0.030876,-0.061238,0.060397
124,1.033333,0.039986,-0.001602,0.037870,0.078191,-0.052820,0.044369,0.086153,-0.026875,0.002530,0.030858,-0.061234,0.060466
125,1.041667,0.039984,-0.001603,0.037872,0.078195,-0.052820,0.044350,0.086156,-0.026879,0.002537,0.030858,-0.061238,0.060479
126,1.050000,,,,,,,,,,,,
127,1.058333,0.039984,-0.001605,0.037888,0.078189,-0.052818,0.044384,0.086148,-0.026878,0.002553,0.030862,-0.061237,0.060477
128,1.066667,0.039989,-0.001602,0.037851,0.078190,-0.052820,0.044391,0.086153,-0.026878,0.002547,0.030861,-0.061235,0.060458
129,1.075000,0.039986,-0.001601,0.037868,0.078187,-0.052817,0.044392,0.086153,-0.026877,0.002532,0.030882,-0.061242,0.060376
130,1.083333,0.039983,-0.001608,0.037886,0.078191,-0.052820,0.044381,0.086152,-0.026884,0.002542,0.030861,-0.061238,0.060457
131,1.091667,0.039985,-0.001604,0.037870,0.078189,-0.052818,0.044386,0.086150,-0.026880,0.002550,0.030859,-0.061237,0.060479
132,1.100000,0.039984,-0.001605,0.037868,0.078188,-0.052814,0.044393,0.086155,-0.026876,0.002530,0.030865,-0.061239,0.060460
133,1.108333,0.039988,-0.001603,0.037872,0.078195,-0.052816,0.044343,0.086153,-0.026876,0.002534,0.030855,-0.061239,0.060488
134,1.116667,0.039986,-0.001602,0.037864,0.078188,-0.052817,0.044373,0.086148,-0.026878,0.002564,0.030862,-0.061236,0.060458
